filing,thesis,side,n,raw_1h,raw_EOD,raw_D+1,raw_D+2,spy_1h,spy_EOD,spy_D+1,spy_D+2
Q1 2025,Long NEW common (size-wt by cur $),LONG,7,-0.0065531881763850166,,-0.016978730911154837,0.026777219213699285,-0.004733231144853201,,-0.021282014173436413,0.01611265096686791
Q1 2025,Long NEW common (equal-wt),LONG,7,-0.009943868493104422,,-0.025292039511885,0.049512897879485665,-0.008123911461572606,,-0.029595322774166575,0.03884832963265429
Q1 2025,Long INC common only (Δ$ wt),LONG,4,-0.0005170955623738318,,-0.01908250860907901,0.0024396523827307183,0.001302861469157984,,-0.023385791871360587,-0.008224915864100655
Q1 2025,Long NEW+INC common (Δ$ wt),LONG,11,-0.005453130458386227,,-0.017362137369860132,0.02234177894766153,-0.003633173426854411,,-0.021665420632141708,0.011677210700830155
Q1 2025,Long underlying of NEW call options,LONG,1,0.0027686749794211267,,-0.00392886484502164,0.001155517368421455,0.004588632010952942,,-0.008232148107303217,-0.00950905087840992
Q1 2025,Long underlying of NEW+INC calls,LONG,1,0.0027686749794211267,,-0.00392886484502164,0.001155517368421455,0.004588632010952942,,-0.008232148107303217,-0.00950905087840992
Q1 2025,Short EXIT-only common (prior $ wt),SHORT,2,0.006713895661850853,,0.01829249116246649,0.02975571325004104,0.004893938630319037,,0.022595774424748066,0.040420281496872414
Q1 2025,Short DEC-only common (Δsold × prior $),SHORT,0,,,,,,,,
Q1 2025,Short EXIT+DEC common,SHORT,2,0.006713895661850853,,0.01829249116246649,0.02975571325004104,0.004893938630319037,,0.022595774424748066,0.040420281496872414
Q1 2025,Short underlying of NEW put options,SHORT,0,,,,,,,,
Q1 2025,Short underlying of NEW+INC puts,SHORT,0,,,,,,,,
Q2 2025,Long NEW common (size-wt by cur $),LONG,0,,,,,,,,
Q2 2025,Long NEW common (equal-wt),LONG,0,,,,,,,,
Q2 2025,Long INC common only (Δ$ wt),LONG,7,0.0029351133463666277,,-0.0012572176781309478,0.010704922667639855,0.0003538274603214018,,-0.0014126185264602712,0.01076715890482179
Q2 2025,Long NEW+INC common (Δ$ wt),LONG,7,0.0029351133463666277,,-0.0012572176781309478,0.010704922667639855,0.0003538274603214018,,-0.0014126185264602712,0.01076715890482179
Q2 2025,Long underlying of NEW call options,LONG,0,,,,,,,,
