filing,ticker,issuer,weight,raw_stock_d1,spy_d1,short_pnl_d1,short_pnl_spy_adj
Q2 2025,SMH,VANECK ETF TRUST,570058608,-0.013711021267827417,0.00015540084832932344,0.013711021267827417,0.01386642211615674
Q3 2025,AVGO,BROADCOM INC,75879300,-0.005788551062056335,-0.013902585518884458,0.005788551062056335,-0.008114034456828123
Q3 2025,NVDA,NVIDIA CORPORATION,298528000,-0.018101385519614266,-0.013902585518884458,0.018101385519614266,0.004198800000729808
Q3 2025,TSM,TAIWAN SEMICONDUCTOR MFG LTD,75408300,-0.013502590049648822,-0.013902585518884458,0.013502590049648822,-0.00039999546923563667
Q3 2025,CRWV,COREWEAVE INC,191590000,-0.04657638533955055,-0.013902585518884458,0.04657638533955055,0.032673799820666094
Q3 2025,MU,MICRON TECHNOLOGY INC,50196000,-0.049588755821378894,-0.013902585518884458,0.049588755821378894,0.035686170302494435
Q4 2025,INFY,INFOSYS LTD,8910000,-0.12283954512798423,-0.02171196427165978,0.12283954512798423,0.10112758085632445
