ticker,issuer,weight,sa_value,entry_price,r_10:30,r_11:30,r_12:30,r_13:30,r_14:30,r_15:30,r_15:59,d_1,d_2,d_3,d_5,d_10,d_20,d_40
KRC,KILROY RLTY CORP,0.30512721462325904,49616149,33.540000915527344,0.007751887729163354,0.0068574697661933914,-0.01252242016034466,-0.0247466251758639,-0.033393044603750366,-0.039087680029480265,,-0.0963029624751629,-0.05336913734843285,-0.05158024455461652,-0.03130587979723187,-0.045319034474444186,-0.12581994947857844,-0.15861662066055449
WYFI,WHITEFIBER INC,0.170779218682713,27770080,19.350000381469727,-0.01989665226314552,-0.03385016401719354,-0.04496128279493694,-0.026873408140169475,-0.052196393228449156,-0.03100777104088892,,-0.05994831134592471,0.0036175552167561076,-0.04857883801169305,-0.07803618600069218,-0.04341085974304715,-0.1333333267619342,-0.2506460096049541
PSIX,POWER SOLUTIONS INTL INC,0.1519089504011409,24701622,85.68000030517578,-0.00869517674986553,-0.0012838539911269597,-0.022327287667441742,-0.0010516240557087997,0.00770303490154145,0.000933728183587057,,0.08216621020602477,0.15277773449190657,0.0951213993563278,-0.010504219452302399,0.0745798245435163,-0.2930672329705245,-0.09383754536520073
CLSK,CLEANSPARK INC,0.10209116613673706,16600848,10.0600004196167,-0.021371783660033117,-0.03528831820110112,-0.04522871355881186,-0.03280326676099132,-0.06113327029224047,-0.04473168431106278,,-0.07455268078692345,-0.020874754412284036,-0.07753485627341827,-0.023856929898778745,0.03777327484257498,-0.05069584568678054,-0.0039761391833571524
BITF,BITFARMS LTD,0.09967638445999684,16208185,2.2300000190734863,-0.02466370685505792,-0.025336303836357987,-0.04026911149414891,-0.027892407576450617,-0.04484300617814163,-0.02242150308907087,,-0.07174891679918671,-0.0403587055603275,-0.05829601494574432,-0.06726461618137258,0.04484300617814174,-0.00448430061781413,-0.0403587055603275
LBRT,LIBERTY ENERGY INC,0.06439109496868467,10470512,24.809999465942383,-0.00846429218029332,-0.00564286145352888,-0.004433643908534957,-0.015316371178816013,-0.016928661238807985,-0.014107230512043545,,-0.0016122131817705165,0.04393390471790104,0.07537286898375073,0.08383716116404383,0.1253527076701786,0.22128173677127605,0.11366383536990154
PUMP,PROPETRO HLDG CORP,0.053238149458444795,8656953,11.329999923706055,0.022947946216471893,0.019417499427206275,0.027352187634623437,0.020300132167645257,0.019858815797425766,0.024713127524859102,,-0.005295628097652938,0.06090031233044502,0.06001767959000581,0.015004419897501453,0.05030888779015741,0.2700794739825356,0.22065313476032644
BW,BABCOCK & WILCOX ENTERPRISES,0.05278782126902369,8583726,10.0,-0.06962003707885744,-0.06899995803833003,-0.07700004577636721,-0.06750001907348635,-0.04849996566772463,-0.03800001144409182,,-0.03800001144409182,-0.025000000000000022,-0.04799995422363279,-0.06599998474121094,-0.08100004196166988,0.3050000190734863,0.7440000534057618
