accession,form,filing_date,acceptance_datetime,amendment_no,previous_accession,date_of_event,issuer_name,issuer_cik,issuer_cusip,shares_owned,percent_of_class,n_transactions_disclosed
0000935836-25-000543,SCHEDULE 13D,2025-08-19,2025-08-19T16:55:55.000Z,0,,08/12/2025,"Core Scientific, Inc.",0001839341,21874A106,17682918,5.8,12
0000935836-25-000638,SCHEDULE 13D/A,2025-10-14,2025-10-14T17:50:54.000Z,1,0000935836-25-000543,10/09/2025,"Core Scientific, Inc.",0001839341,21874A106,28756478,9.4,27
