accession,period_of_report,filing_date,acceptance_datetime,issuer,title_of_class,cusip,value_usd,shares,shares_type,put_call,weight
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,COHERENT CORP,COM,19247G107,16631968,154400,SH,,0.004018967137241681
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,CORE SCIENTIFIC INC NEW,COM,21874A106,362038780,20180534,SH,,0.08748345110013865
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,COREWEAVE INC,COM CL A,21873S108,191590000,1400000,SH,Put,0.04629601943823688
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,COREWEAVE INC,COM CL A,21873S108,316739325,2314500,SH,Call,0.07653724070699947
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,COREWEAVE INC,COM CL A,21873S108,563200154,4115456,SH,,0.13609230793466257
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,EQT CORP,COM,26884L109,66262320,1217386,SH,,0.016011700270069797
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,GALAXY DIGITAL INC.,CL A,36317J209,92554875,2737500,SH,,0.02236506233156002
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,HUT 8 CORP,COM,44812J104,20851190,599000,SH,,0.005038504606453209
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,IREN LIMITED,ORDINARY SHARES,Q4982L109,338854358,7220421,SH,,0.08188114173338523
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,INTEL CORP,COM,458140100,678964770,20237400,SH,Call,0.16406579774413085
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,LUMENTUM HLDGS INC,COM,55024UAD1,67947696,417600,SH,,0.01641895639020518
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,MICRON TECHNOLOGY INC,COM,595112103,50196000,300000,SH,Put,0.012129416940976764
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,NVIDIA CORPORATION,COM,67066G104,298528000,1600000,SH,Put,0.07213663599800604
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,RIOT PLATFORMS INC,COM,767292105,68369062,3592699,SH,,0.01652077573634335
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,SANDISK CORP,COM,80004C200,12903000,115000,SH,,0.0031178951866567693
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,SEAGATE TECHNOLOGY HLDNGS PL,ORD SHS,G7997R103,11464726,48567,SH,,0.002770349067018423
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,SOLARIS ENERGY INFRAS INC,COM CL A,83418M103,45977491,1150300,SH,,0.01111005176187359
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,874039100,75408300,270000,SH,Put,0.01822174498984497
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,TOWER SEMICONDUCTOR LTD,SHS NEW,M87915274,34024380,470600,SH,,0.008221688803455076
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,VANECK ETF TRUST,SEMICONDUCTR ETF,92189F106,195816000,600000,SH,Put,0.04731719475086274
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,VISTRA CORP,COM,92840M102,252327327,1287910,SH,,0.06097265429088341
0002045724-25-000008,2025-09-30,2025-11-14,2025-11-14T17:10:32.000Z,WESTERN DIGITAL CORP,COM,958102AT2,18347689,152821,SH,,0.004433555856729082
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,APPLIED DIGITAL CORP,COM NEW,038169207,278033751,11339060,SH,,0.05039802971467658
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,BABCOCK & WILCOX ENTERPRISES,COM,05614L209,8583726,1353900,SH,,0.0015559365596971785
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,BITDEER TECHNOLOGIES GROUP,CL A ORD SHS,G11448100,20043480,1788000,SH,,0.003633198836444593
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,BITFARMS LTD,COM,09173B107,16208185,6897100,SH,,0.002937990752248547
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,BLOOM ENERGY CORP,COM CL A,093712107,875505552,10076022,SH,,0.15869927541660336
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,BLOOM ENERGY CORP,COM CL A,093712107,35494565,408500,SH,Call,0.006433953198651481
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,CIPHER MINING INC,COM,17253J106,154523813,10469093,SH,,0.02800989337153937
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,CLEANSPARK INC,COM NEW,18452B209,16600848,1640400,SH,,0.0030091671524901643
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,COHERENT CORP,COM,19247G107,88648971,480300,SH,,0.016069032837072728
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,CORE SCIENTIFIC INC NEW,COM,21874A106,418694320,28756478,SH,,0.07589499010401189
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,COREWEAVE INC,COM CL A,21873S108,436735927,6098812,SH,,0.07916531768983982
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,COREWEAVE INC,COM CL A,21873S108,774426345,10814500,SH,Call,0.14037706503890737
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,EQT CORP,COM,26884L109,133047260,2482225,SH,,0.024116927311232446
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,EQT CORP,COM,26884L109,37520000,700000,SH,Call,0.00680109543569286
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,HUT 8 CORP,COM,44812J104,39517588,860200,SH,,0.007163189962057328
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,IREN LIMITED,ORDINARY SHARES,Q4982L109,328622455,8700621,SH,,0.05956803514836574
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,INFOSYS LTD,SPONSORED ADR,456788108,8910000,500000,SH,Put,0.0016150789001072331
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,INTEL CORP,COM,458140100,37,1,SH,,6.706837183385817e-09
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,INTEL CORP,COM,458140100,746760060,20237400,SH,Call,0.1353621118236601
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,KILROY RLTY CORP,COM,49427F108,49616149,1327700,SH,,0.008993714405665163
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,LIBERTY ENERGY INC,COM CL A,53115L104,10470512,567200,SH,,0.0018979464651537135
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,LUMENTUM HLDGS INC,COM,55024U109,478577256,1298400,SH,,0.08674972258550143
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,POWER SOLUTIONS INTL INC,COM NEW,73933G202,24701622,432300,SH,,0.004477560997825436
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,PROPETRO HLDG CORP,COM,74347M108,8656953,910300,SH,,0.0015692101155465783
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,RIOT PLATFORMS INC,COM,767292105,78144759,6167700,SH,,0.01416497771210604
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,SANDISK CORP,COM,80004C200,250245996,1054200,SH,,0.045361058134222115
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,SOLARIS ENERGY INFRAS INC,COM CL A,83418M103,85803005,1866500,SH,,0.015553156334601059
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,TOWER SEMICONDUCTOR LTD,SHS NEW,M87915274,84895130,723004,SH,,0.0153885895830371
0002045724-26-000002,2025-12-31,2026-02-11,2026-02-11T08:31:47.000Z,WHITEFIBER INC,SHS,G96115103,27770080,1757600,SH,,0.0050337677062053734
