period,prior_period,issuer_norm,issuer_raw,classification,common_shares_prev,common_shares_cur,common_value_cur,option_value_cur,has_common_prev,has_common_cur,has_option_prev,has_option_cur
2025-09-30,2025-06-30,APPLIED DIGITAL,APPLIED DIGITAL CORP,DEC,6591800,6064155,139111716,0,True,True,False,False
2025-09-30,2025-06-30,INTEL,INTEL CORP,HOLD,0,0,0,678964770,False,False,True,True
2025-09-30,2025-06-30,TOWER SEMICONDUCTOR,TOWER SEMICONDUCTOR LTD,NEW_ALL,0,470600,34024380,0,False,True,False,False
2025-09-30,2025-06-30,CORE SCIENTIFIC,CORE SCIENTIFIC INC NEW,INC,7994038,20180534,362038780,0,True,True,False,False
2025-09-30,2025-06-30,MICRON,MICRON TECHNOLOGY INC,NEW_ALL,0,0,0,50196000,False,False,False,True
2025-09-30,2025-06-30,BROADCOM,BROADCOM INC,EXIT_COMMON,1191606,0,0,75879300,True,False,False,True
2025-09-30,2025-06-30,IREN,IREN LIMITED,INC,6400384,7220421,338854358,0,True,True,False,False
2025-12-31,2025-09-30,BITDEER,BITDEER TECHNOLOGIES GROUP,INC,929600,1788000,20043480,0,True,True,False,False
2025-12-31,2025-09-30,BABCOCK AND WILCOX,BABCOCK & WILCOX ENTERPRISES,NEW_ALL,0,1353900,8583726,0,False,True,False,False
2025-12-31,2025-09-30,LUMENTUM,LUMENTUM HLDGS INC,INC,417600,1298400,478577256,0,True,True,False,False
2025-12-31,2025-09-30,CLEANSPARK,CLEANSPARK INC,NEW_ALL,0,1640400,16600848,0,False,True,False,False
2025-12-31,2025-09-30,VISTRA,VISTRA CORP,EXIT_ALL,1287910,0,0,0,True,False,False,False
2025-12-31,2025-09-30,SOLARIS ENERGY INFRAS,SOLARIS ENERGY INFRAS INC,INC,1150300,1866500,85803005,0,True,True,False,False
2025-12-31,2025-09-30,BITFARMS,BITFARMS LTD,NEW_ALL,0,6897100,16208185,0,False,True,False,False
2025-12-31,2025-09-30,WHITEFIBER,WHITEFIBER INC,NEW_ALL,0,1757600,27770080,0,False,True,False,False
2025-12-31,2025-09-30,SANDISK,SANDISK CORP,INC,115000,1054200,250245996,0,True,True,False,False
2025-12-31,2025-09-30,EQT,EQT CORP,INC,1217386,2482225,133047260,37520000,True,True,False,True
2025-12-31,2025-09-30,COHERENT,COHERENT CORP,INC,154400,480300,88648971,0,True,True,False,False
2025-12-31,2025-09-30,RIOT PLATFORMS,RIOT PLATFORMS INC,INC,3592699,6167700,78144759,0,True,True,False,False
2025-12-31,2025-09-30,TAIWAN SEMICONDUCTOR,TAIWAN SEMICONDUCTOR MFG LTD,EXIT_ALL,0,0,0,0,False,False,True,False
2025-12-31,2025-09-30,BLOOM ENERGY,BLOOM ENERGY CORP,INC,3048002,10076022,875505552,35494565,True,True,True,True
2025-12-31,2025-09-30,CIPHER MINING,CIPHER MINING INC,INC,5740493,10469093,154523813,0,True,True,False,False
2025-12-31,2025-09-30,SEAGATE TECHNOLOGY HLDNGS,SEAGATE TECHNOLOGY HLDNGS PL,EXIT_ALL,48567,0,0,0,True,False,False,False
2025-12-31,2025-09-30,NVIDIA,NVIDIA CORPORATION,EXIT_ALL,0,0,0,0,False,False,True,False
2025-12-31,2025-09-30,VANECK,VANECK ETF TRUST,EXIT_ALL,0,0,0,0,False,False,True,False
2025-12-31,2025-09-30,POWER SOLUTIONS INTL,POWER SOLUTIONS INTL INC,NEW_ALL,0,432300,24701622,0,False,True,False,False
2025-12-31,2025-09-30,WESTERN DIGITAL,WESTERN DIGITAL CORP,EXIT_ALL,152821,0,0,0,True,False,False,False
2025-12-31,2025-09-30,GALAXY DIGITAL,GALAXY DIGITAL INC.,EXIT_ALL,2737500,0,0,0,True,False,False,False
2025-12-31,2025-09-30,COREWEAVE,COREWEAVE INC,INC,4115456,6098812,436735927,774426345,True,True,True,True
2025-12-31,2025-09-30,KILROY RLTY,KILROY RLTY CORP,NEW_ALL,0,1327700,49616149,0,False,True,False,False
2025-12-31,2025-09-30,HUT 8,HUT 8 CORP,INC,599000,860200,39517588,0,True,True,False,False
2025-12-31,2025-09-30,APPLIED DIGITAL,APPLIED DIGITAL CORP,INC,6064155,11339060,278033751,0,True,True,False,False
2025-12-31,2025-09-30,PROPETRO,PROPETRO HLDG CORP,NEW_ALL,0,910300,8656953,0,False,True,False,False
2025-12-31,2025-09-30,INFOSYS,INFOSYS LTD,NEW_ALL,0,0,0,8910000,False,False,False,True
2025-12-31,2025-09-30,INTEL,INTEL CORP,NEW_COMMON,0,1,37,746760060,False,True,True,True
2025-12-31,2025-09-30,TOWER SEMICONDUCTOR,TOWER SEMICONDUCTOR LTD,INC,470600,723004,84895130,0,True,True,False,False
2025-12-31,2025-09-30,CORE SCIENTIFIC,CORE SCIENTIFIC INC NEW,INC,20180534,28756478,418694320,0,True,True,False,False
2025-12-31,2025-09-30,MICRON,MICRON TECHNOLOGY INC,EXIT_ALL,0,0,0,0,False,False,True,False
2025-12-31,2025-09-30,BROADCOM,BROADCOM INC,EXIT_ALL,0,0,0,0,False,False,True,False
2025-12-31,2025-09-30,LIBERTY ENERGY,LIBERTY ENERGY INC,NEW_ALL,0,567200,10470512,0,False,True,False,False
2025-12-31,2025-09-30,IREN,IREN LIMITED,INC,7220421,8700621,328622455,0,True,True,False,False
